cell_type1	dataset
Fetal Stroma progenitor_pool12	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool13	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool14	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool15	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool16	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool17	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool18	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool19	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool20	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool21	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool22	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool23	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool24	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool25	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool26	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool27	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool28	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool29	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool30	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool31	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool32	Fetal Stroma progenitor	Fetal
Mature Ascending vasa recta endothelium_pool1	Mature Ascending vasa recta endothelium	Mature
Mature Ascending vasa recta endothelium_pool2	Mature Ascending vasa recta endothelium	Mature
Mature B cell_pool1	Mature B cell	Mature
Mature B cell_pool2	Mature B cell	Mature
Mature B cell_pool3	Mature B cell	Mature
Mature B cell_pool4	Mature B cell	Mature
Mature B cell_pool5	Mature B cell	Mature
Mature B cell_pool6	Mature B cell	Mature
Mature B cell_pool7	Mature B cell	Mature
Mature B cell_pool8	Mature B cell	Mature
Mature CD4 T cell_pool1	Mature CD4 T cell	Mature
Mature CD4 T cell_pool2	Mature CD4 T cell	Mature
Mature CD4 T cell_pool3	Mature CD4 T cell	Mature
Mature CD4 T cell_pool4	Mature CD4 T cell	Mature
Mature CD4 T cell_pool5	Mature CD4 T cell	Mature
Mature CD4 T cell_pool6	Mature CD4 T cell	Mature
Mature CD4 T cell_pool7	Mature CD4 T cell	Mature
Mature CD4 T cell_pool8	Mature CD4 T cell	Mature
Mature CD4 T cell_pool9	Mature CD4 T cell	Mature
Mature CD4 T cell_pool10	Mature CD4 T cell	Mature
Mature CD4 T cell_pool11	Mature CD4 T cell	Mature
Mature CD4 T cell_pool12	Mature CD4 T cell	Mature
Mature CD4 T cell_pool13	Mature CD4 T cell	Mature
Mature CD4 T cell_pool14	Mature CD4 T cell	Mature
Mature CD4 T cell_pool15	Mature CD4 T cell	Mature
Mature CD4 T cell_pool16	Mature CD4 T cell	Mature
Mature CD4 T cell_pool17	Mature CD4 T cell	Mature
Mature CD4 T cell_pool18	Mature CD4 T cell	Mature
Mature CD4 T cell_pool19	Mature CD4 T cell	Mature
Mature CD4 T cell_pool20	Mature CD4 T cell	Mature
Mature CD8 T cell_pool1	Mature CD8 T cell	Mature
Mature CD8 T cell_pool2	Mature CD8 T cell	Mature
Mature CD8 T cell_pool3	Mature CD8 T cell	Mature
Mature CD8 T cell_pool4	Mature CD8 T cell	Mature
Mature CD8 T cell_pool5	Mature CD8 T cell	Mature
Mature CD8 T cell_pool6	Mature CD8 T cell	Mature
Mature CD8 T cell_pool7	Mature CD8 T cell	Mature
Mature CD8 T cell_pool8	Mature CD8 T cell	Mature
Mature Connecting tubule_pool1	Mature Connecting tubule	Mature
Mature Descending vasa recta endothelium_pool1	Mature Descending vasa recta endothelium	Mature
Mature Distinct proximal tubule 2_pool1	Mature Distinct proximal tubule 2	Mature
Mature Epithelial progenitor cell_pool1	Mature Epithelial progenitor cell	Mature
Mature Glomerular endothelium_pool1	Mature Glomerular endothelium	Mature
Mature Glomerular endothelium_pool2	Mature Glomerular endothelium	Mature
Mature Glomerular endothelium_pool3	Mature Glomerular endothelium	Mature
Mature Glomerular endothelium_pool4	Mature Glomerular endothelium	Mature
Mature Glomerular endothelium_pool5	Mature Glomerular endothelium	Mature
Mature Indistinct intercalated cell_pool1	Mature Indistinct intercalated cell	Mature
Mature Indistinct intercalated cell_pool2	Mature Indistinct intercalated cell	Mature
Mature Indistinct intercalated cell_pool3	Mature Indistinct intercalated cell	Mature
Mature MNP-a/classical monocyte derived_pool1	Mature MNP-a/classical monocyte derived	Mature
Mature MNP-a/classical monocyte derived_pool2	Mature MNP-a/classical monocyte derived	Mature
Mature MNP-a/classical monocyte derived_pool3	Mature MNP-a/classical monocyte derived	Mature
Mature MNP-a/classical monocyte derived_pool4	Mature MNP-a/classical monocyte derived	Mature
